City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,ptolemaida,40.5147,21.6786,16.31,91,100,0.85,GR,1686516269
156,khandyga,62.6667,135.6,17.46,64,100,3.18,RU,1686516270
157,tregunc,47.85,-3.85,18.25,88,76,3.43,FR,1686516270
158,huarmey,-10.0681,-78.1522,23.43,71,3,5.21,PE,1686516270
159,guerrero negro,27.9769,-114.0611,21.1,50,0,8.21,MX,1686516270
160,san luis de la loma,17.2706,-100.8939,31.9,57,14,3.89,MX,1686516270
161,shantobe,52.4581,68.1839,14.02,86,47,2.7,KZ,1686516270
162,nagqu,31.5,92.0,1.94,87,51,2.47,CN,1686516270
163,alness,57.696,-4.2551,17.03,94,55,0.59,GB,1686516270
164,berezovyy,51.6667,135.7,15.66,74,8,2.4,RU,1686516270
165,mezhdurechensk,53.6942,88.0603,9.76,93,100,1.08,RU,1686516272
166,tinajo,29.0788,-13.7081,23.49,64,20,2.57,ES,1686516272
167,mount gambier,-37.8333,140.7667,10.29,73,44,4.45,AU,1686516272
168,murzuq,25.9155,13.9184,34.79,16,79,4.46,LY,1686516272
169,uturoa,-16.7333,-151.4333,26.7,65,21,6.34,PF,1686516272
170,aasiaat,68.7098,-52.8699,1.12,96,100,0.86,GL,1686516272
171,bindura,-17.3019,31.3306,12.91,55,3,0.51,ZW,1686516272
172,tura,25.5198,90.2201,23.64,92,99,2.65,IN,1686516273
173,gazojak,41.1875,61.4036,26.49,16,50,5.98,TM,1686516273
174,bel ombre,-4.6167,55.4167,26.91,78,40,7.2,SC,1686516273
175,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,58,0,4.0,RU,1686516273
176,namibe,-15.1961,12.1522,18.97,72,52,3.62,AO,1686516273
177,lebu,-37.6167,-73.65,9.67,67,17,8.93,CL,1686516234
178,arica,-18.475,-70.3042,21.75,64,20,6.69,CL,1686516273
179,sao miguel,-5.4667,-35.3667,25.43,90,16,4.95,BR,1686516273
180,yashan,22.1975,109.9419,24.89,90,81,0.85,CN,1686516274
181,maintirano,-18.0667,44.0167,23.16,71,0,5.01,MG,1686516274
182,sao joao da barra,-21.6403,-41.0511,26.05,84,0,5.1,BR,1686516274
183,fortuna,40.5982,-124.1573,16.48,88,0,6.17,US,1686516274
184,ust-nera,64.5667,143.2,17.13,59,100,3.82,RU,1686516274
185,tolanaro,-25.0319,46.9987,20.04,88,20,0.0,MG,1686516274
186,polyarnyy,69.1989,33.4478,14.2,56,98,5.27,RU,1686516274
187,papatowai,-46.5619,169.4708,8.12,84,78,4.45,NZ,1686516186
188,senador jose porfirio,-2.5908,-51.9542,26.9,80,98,1.44,BR,1686516274
189,poshekhon'ye,58.4993,39.1353,7.34,72,5,0.17,RU,1686516275
190,labrador city,52.9463,-66.9114,21.95,43,75,2.57,CA,1686516275
191,taoudenni,22.6783,-3.9836,37.11,9,0,4.62,ML,1686516275
192,kerikeri,-35.2268,173.9474,11.27,90,13,1.71,NZ,1686516275
193,as sulayyil,20.4607,45.5779,33.14,11,55,2.96,SA,1686516275
194,beidao,34.5686,105.8933,17.5,81,100,0.36,CN,1686516275
195,mersing,2.4312,103.8405,24.95,94,20,2.06,MY,1686516275
196,lazaro cardenas,17.9583,-102.2,30.97,53,1,4.85,MX,1686516229
197,midvagur,62.0511,-7.1939,10.46,71,75,3.6,FO,1686516275
198,st. john's,47.5649,-52.7093,8.21,96,100,9.26,CA,1686516170
199,nova sintra,14.8667,-24.7167,22.75,80,5,9.77,CV,1686516276
200,fortaleza,-3.7227,-38.5247,29.07,70,0,3.6,BR,1686516065
201,qorovulbozor,39.5006,64.7936,25.84,21,93,4.52,UZ,1686516276
202,tazovsky,67.4667,78.7,7.29,96,82,3.18,RU,1686516276
203,ludvika,60.1496,15.1878,15.89,44,4,2.18,SE,1686516276
204,isafjordur,66.0755,-23.124,8.73,71,16,8.11,IS,1686516276
205,fort st. john,56.2499,-120.8529,22.94,40,75,5.14,CA,1686516276
206,vertientes,21.2594,-78.1464,31.34,76,79,3.65,CU,1686516276
207,tralee,52.2704,-9.7026,14.38,92,36,1.38,IE,1686516276
208,holualoa,19.6228,-155.9522,25.91,81,40,5.14,US,1686516277
